End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0,0,0,0,0,0.24799377416393786,0,0,0,0,0,0,0,0,0,0,0,0.3246818352080275,0,0.18389399523263328,0,0,0,0,0,0,0,0,0.12225619932522648,0,0,0,0,0,0,0,0,0.05695208403151209,0,0,0,0,0,0,0.06422211203866275,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10498182336086942,0,0,0.5569164869383687,0,0,0,0.33810168970076176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.007376216016854096,0.07090814917179573,0,0,0,0,0,0,0.21622631088920602,0,0,0,0,0,0,0,0,0,0,0,0,0.43603759279124,0,0,0,0,0,0,0,0,0,0,0,0,0.2694517311309042,0,0,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0.06246403647042425,0,0,0,0.01471807792703929,0,0,0,0,0,0,0.6478751556881992,0.013679523159795832,0,0,0,0.14509535737452964,0.029655268719149707,0,0,0,0,0,0,0,0,0,0,0,0.08651258066086216,0,0,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0.0036338298919114326,0.08335904629834519,0.0007721101218253524,0.0016075886618368226,0,0,0,0,0,0,0,0,0.42285599550634995,0,0,0,0,0,0,0.16449853843046192,0,0,0,0,0,0,0,0,0,0,0,0,0.013572508319854527,0,0,0,0,0.2693178322120231,0,0,0,0.04038255055739176,0,0,0
heating,6,0.01835554639627428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6860660677450203,0,0,0,0,0,0,0,0.011608522205586714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2839698636531186,0,0,0,0,0,0,0,0,0,0
heating,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016694549280596722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22874461382712355,0,0,0,0,0,0,0.7545608368922797,0,0,0,0,0,0,0,0,0
heating,8,0,0,0.018005924275894494,0,0.017218435787991825,0,0,0,0,0,0,0.5104663126205924,0,0,0,0,0,0,0,0,0,0,0,0,0.27799721727817994,0,0,0,0,0,0.00016904752873643928,0.17614306250860498,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
heating,9,0,0,0,0.1908220207747883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2956974879314518,0,0,0,0,0,0,0,0,0,0.5134804912937599,0,0,0,0,0
water heating,1,0,0,0,0,0,0.2471341495630575,0,0,0,0,0,0,0,0,0,0,0,0.3370273453772983,0,0.1963582074994036,0,0,0,0,0,0,0,0,0.10188314800473729,0,0,0,0,0,0,0,0,0.06919876689105371,0,0,0,0,0,0,0.048398382664449485,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08658587942666957,0,0,0.6786988955213449,0,0,0,0.23471522505198547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.020120261300386955,0.3499219554497671,0,0,0,0,0,0,0.3582538915427324,0,0,0,0,0,0,0,0,0,0,0,0,0.16167039081452358,0,0,0,0,0,0,0,0,0,0,0,0,0.11003350089259005,0,0,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.6799039996130967,0.0,0,0,0,0.32009600038690333,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0.01993182375172065,0.07518898020960682,0.006471199366617015,0.0015234245057345597,0,0,0,0,0,0,0,0,0.476799381872449,0,0,0,0,0,0,0.13849408392889553,0,0,0,0,0,0,0,0,0,0,0,0,0.010572333000680138,0,0,0,0,0.2311408238922684,0,0,0,0.039877949472027815,0,0,0
water heating,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5807491063565249,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4192508936434751,0,0,0,0,0,0,0,0,0,0
water heating,7,0,0.04186709266872293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09308469446005568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020298525956181382,0,0,0,0,0,0,0.84474968691504,0,0,0,0,0,0,0,0,0
water heating,8,0,0,0.00710435456595265,0,0.2826530791995491,0,0,0,0,0,0,0.23122445744081171,0,0,0,0,0,0,0,0,0,0,0,0,0.16005936443066515,0,0,0,0,0,0.0,0.06400348788049605,0,0,0,0,0,0,0,0,0,0,0.22143725338218714,0,0,0,0,0,0.033518003100338215,0,0
water heating,9,0,0,0,0.255105711894725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2852003347385051,0,0,0,0,0,0,0,0,0,0.45969395336676994,0,0,0,0,0
misc,1,0,0,0,0,0,0.17458879938532312,0,0,0,0,0,0,0,0,0,0,0,0.6810631004243142,0,0.003032750752954562,0,0,0,0,0,0,0,0,0.028048634831197804,0,0,0,0,0,0,0,0,0.07979717632804438,0,0,0,0,0,0,0.033469538278165914,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34908290472922504,0,0,0.33537951630480123,0,0,0,0.3155375789659737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3132447259761809,0.14703313697899908,0,0,0,0,0,0,0.20213564131242354,0,0,0,0,0,0,0,0,0,0,0,0,0.2398511852792245,0,0,0,0,0,0,0,0,0,0,0,0,0.09773531045317205,0,0,0,0
misc,4,0,0,0,0,0,0,0,0,0,0,0.19553203481265144,0,0,0,0.20367340814100734,0,0,0,0,0,0,0.1849431256725005,0.3255570317017648,0,0,0,0.0037907068666417796,0.07787304105638392,0,0,0,0,0,0,0,0,0,0,0,0.008630651749050266,0,0,0,0,0,0,0,0,0,0,0
misc,5,0,0,0,0,0,0,0.0040416479384904995,0.019065195204881837,0.4013133589622916,0.23158043244901086,0,0,0,0,0,0,0,0,0.0715470125694705,0,0,0,0,0,0,0.08503536055925418,0,0,0,0,0,0,0,0,0,0,0,0,0.05921858822160764,0,0,0,0,0.09970791448318164,0,0,0,0.028490489611811172,0,0,0
misc,6,0.2528967506800885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2624103621704805,0,0,0,0,0,0,0,0.13087265184405297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35382023530537804,0,0,0,0,0,0,0,0,0,0
misc,7,0,0.04335114239584083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09896582121098577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10797688523142564,0,0,0,0,0,0,0.7497061511617478,0,0,0,0,0,0,0,0,0
misc,8,0,0,0.5731642632320807,0,0.04008447701258133,0,0,0,0,0,0,0.017463489453036274,0,0,0,0,0,0,0,0,0,0,0,0,0.005169132096437071,0,0,0,0,0,0.10350665867852121,0.22922474098543855,0,0,0,0,0,0,0,0,0,0,0.029201789576736456,0,0,0,0,0,0.0021854489651684677,0,0
misc,9,0,0,0,0.904563895525962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02718838304044426,0,0,0,0,0,0,0,0,0,0.06824772143359377,0,0,0,0,0
